ID,Frota,Origem,Destino,Expressao,Param_1,Param_2,Param_3
1,CAT_785,Mina_1#Regiao_1,BRIT_PRIM,CONT,"[0, 0.15, 0.3, 0.46, 0.61, 0.76, 0.91, 0.98, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 4, 5.4, 5.9, 6.5, 7.2, 9, 14.2, 18.2, 24.2, 26.1, 31.8, 72.4]",nan
2,CAT_785,Mina_1#Regiao_2,BRIT_PRIM,CONT,"[0, 0.15, 0.3, 0.46, 0.61, 0.76, 0.91, 0.98, 0.99, 0.99, 0.99, 0.99, 1]","[0.001, 4, 5.4, 5.9, 6.5, 7.2, 9, 14.2, 18.2, 24.2, 26.1, 31.8, 72.4]",nan
3,CAT_785,Mina_1#Regiao_3,BRIT_PRIM,NORM,8.69,0.4345,nan
4,CAT_785,Mina_1#Regiao_4,BRIT_PRIM,NORM,9.4,0.47,nan
5,CAT_785,Mina_1#Regiao_5,BRIT_PRIM,CONT,"[0, 0.05, 0.1, 0.17, 0.32, 0.49, 0.56, 0.73, 1]","[0.001, 6, 7.1, 8.8, 9.6, 10.3, 10.8, 11.4, 12.1]",nan
6,CAT_785,Mina_1#Regiao_6,BRIT_PRIM,NORM,23.255,1.16275,nan
7,CAT_785,Mina_1#Regiao_1,BRIT_SECO,CONT,"[0, 0.09, 0.25, 0.43, 0.58, 0.72, 0.79, 0.83, 1]","[0.001, 11, 11.8, 12.8, 13.7, 15.2, 16.4, 19.1, 27.1]",nan
8,CAT_785,Mina_1#Regiao_2,BRIT_SECO,CONT,"[0, 0.09, 0.25, 0.43, 0.58, 0.72, 0.79, 0.83, 1]","[0.001, 11, 11.8, 12.8, 13.7, 15.2, 16.4, 19.1, 27.1]",nan
9,CAT_785,Mina_1#Regiao_3,BRIT_SECO,NORM,13.575,0.67875,nan
10,CAT_785,Mina_1#Regiao_4,BRIT_SECO,NORM,13.9,0.695,nan
11,CAT_785,Mina_1#Regiao_5,BRIT_SECO,CONT,"[0, 0.67, 1]","[0.001, 0.8, 11.1]",nan
12,CAT_785,Mina_1#Regiao_6,BRIT_SECO,NORM,24.21,1.2105,nan
13,CAT_785,Mina_1#Regiao_1,BARNABE,CONT,"[0, 0.05, 0.2, 0.35, 0.51, 0.66, 0.81, 0.96, 0.99, 0.99, 1]","[0.001, 11.8, 15.3, 16.1, 16.7, 17.4, 18.5, 22.4, 33.8, 45.5, 166.3]",nan
14,CAT_785,Mina_1#Regiao_2,BARNABE,CONT,"[0, 0.05, 0.2, 0.35, 0.51, 0.66, 0.81, 0.96, 0.99, 0.99, 1]","[0.001, 11.8, 15.3, 16.1, 16.7, 17.4, 18.5, 22.4, 33.8, 45.5, 166.3]",nan
15,CAT_785,Mina_1#Regiao_3,BARNABE,CONT,"[0, 0.03, 0.09, 0.29, 0.47, 0.65, 0.71, 0.74, 1]","[0.001, 9.2, 16, 17.6, 18.8, 20, 21.6, 22.7, 24.8]",nan
16,CAT_785,Mina_1#Regiao_4,BARNABE,CONT,"[0, 0.03, 0.09, 0.29, 0.47, 0.65, 0.71, 0.74, 1]","[0.001, 9.2, 16, 17.6, 18.8, 20, 21.6, 22.7, 24.8]",nan
17,CAT_785,Mina_1#Regiao_5,BARNABE,CONT,"[0, 0.03, 0.09, 0.29, 0.47, 0.65, 0.71, 0.74, 1]","[0.001, 9.2, 16, 17.6, 18.8, 20, 21.6, 22.7, 24.8]",nan
18,CAT_785,Mina_1#Regiao_6,BARNABE,NORM,7.84,0.392,nan
19,CAT_785,Mina_1#Regiao_1,AMP. BARNABE,CONT,"[0, 0.02, 0.04, 0.19, 0.35, 0.5, 0.65, 0.8, 0.95, 0.98, 0.98, 0.98, 0.99, 0.99, 1]","[0.001, 5, 10.2, 15.5, 16.4, 17, 17.6, 18.4, 21.4, 26.3, 31.9, 36.8, 41.8, 55.8, 72.6]",nan
20,CAT_785,Mina_1#Regiao_2,AMP. BARNABE,CONT,"[0, 0.02, 0.04, 0.19, 0.35, 0.5, 0.65, 0.8, 0.95, 0.98, 0.98, 0.98, 0.99, 0.99, 1]","[0.001, 5, 10.2, 15.5, 16.4, 17, 17.6, 18.4, 21.4, 26.3, 31.9, 36.8, 41.8, 55.8, 72.6]",nan
21,CAT_785,Mina_1#Regiao_3,AMP. BARNABE,CONT,"[0, 0.03, 0.09, 0.29, 0.47, 0.65, 0.71, 0.74, 1]","[0.001, 9.2, 16, 17.6, 18.8, 20, 21.6, 22.7, 24.8]",nan
22,CAT_785,Mina_1#Regiao_4,AMP. BARNABE,CONT,"[0, 0.03, 0.09, 0.29, 0.47, 0.65, 0.71, 0.74, 1]","[0.001, 9.2, 16, 17.6, 18.8, 20, 21.6, 22.7, 24.8]",nan
23,CAT_785,Mina_1#Regiao_5,AMP. BARNABE,CONT,"[0, 0.03, 0.09, 0.29, 0.47, 0.65, 0.71, 0.74, 1]","[0.001, 9.2, 16, 17.6, 18.8, 20, 21.6, 22.7, 24.8]",nan
24,CAT_785,Mina_1#Regiao_6,AMP. BARNABE,NORM,7.84,0.392,nan
25,CAT_785,Mina_1#Regiao_1,MARES 1,CONT,"[0, 0.02, 0.04, 0.19, 0.35, 0.5, 0.65, 0.8, 0.95, 0.98, 0.98, 0.98, 0.99, 0.99, 1]","[0.001, 5, 10.2, 15.5, 16.4, 17, 17.6, 18.4, 21.4, 26.3, 31.9, 36.8, 41.8, 55.8, 72.6]",nan
26,CAT_785,Mina_1#Regiao_2,MARES 1,CONT,"[0, 0.02, 0.04, 0.19, 0.35, 0.5, 0.65, 0.8, 0.95, 0.98, 0.98, 0.98, 0.99, 0.99, 1]","[0.001, 5, 10.2, 15.5, 16.4, 17, 17.6, 18.4, 21.4, 26.3, 31.9, 36.8, 41.8, 55.8, 72.6]",nan
27,CAT_785,Mina_1#Regiao_3,MARES 1,CONT,"[0, 0.03, 0.09, 0.29, 0.47, 0.65, 0.71, 0.74, 1]","[0.001, 9.2, 16, 17.6, 18.8, 20, 21.6, 22.7, 24.8]",nan
28,CAT_785,Mina_1#Regiao_4,MARES 1,CONT,"[0, 0.03, 0.09, 0.29, 0.47, 0.65, 0.71, 0.74, 1]","[0.001, 9.2, 16, 17.6, 18.8, 20, 21.6, 22.7, 24.8]",nan
