ID,Frota,Descarga,Expressao,Param_1,Param_2,Param_3
1,CAT_785,WASTEPILE1,CONT,"[0.05,0.1,0.15,0.2,0.25,0.5,0.55,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1]","[0.52,0.57,0.58,0.62,0.63,0.72,0.73,0.75,0.78,0.80,0.83,0.85,0.90,0.98,2.23]",nan
2,CAT_775,WASTEPILE1,CONT,"[0.05,0.1,0.15,0.2,0.25,0.5,0.55,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1]","[0.45,0.48,0.52,0.53,0.55,0.63,0.65,0.67,0.72,0.73,0.77,0.82,0.87,0.97,2.48]",nan
3,CAT_785,WASTEPILE2,CONT,"[0.05,0.1,0.15,0.2,0.25,0.5,0.55,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1]","[0.08,0.13,0.20,0.30,0.55,0.72,0.75,0.77,0.82,0.85,0.88,1.00,1.08,1.27,1.82]",nan
4,CAT_775,WASTEPILE2,CONT,"[0.05,0.1,0.15,0.2,0.25,0.5,0.55,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1]","[0.00,0.02,0.13,0.33,0.45,0.60,0.62,0.65,0.74,0.77,0.80,0.84,0.85,0.87,0.93]",nan
5,CAT_785,WETPLANT,CONT,"[0.05,0.1,0.15,0.2,0.25,0.5,0.55,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1]","[0.30,0.42,0.45,0.47,0.48,0.55,0.57,0.58,0.62,0.63,0.67,0.72,0.80,1.05,1.83]",nan
6,CAT_775,WETPLANT,CONT,"[0.05,0.1,0.15,0.2,0.25,0.5,0.55,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1]","[0.27,0.33,0.35,0.38,0.40,0.45,0.47,0.48,0.52,0.53,0.57,0.62,0.70,0.93,1.52]",nan
7,CAT_785,DRYPLANT,CONT,"[0.05,0.1,0.15,0.2,0.25,0.5,0.55,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1]","[0.45,0.48,0.52,0.53,0.55,0.63,0.63,0.65,0.68,0.72,0.73,0.77,0.82,0.88,1.20]",nan
8,CAT_775,DRYPLANT,CONT,"[0.05,0.1,0.15,0.2,0.25,0.5,0.55,0.6,0.7,0.75,0.8,0.85,0.9,0.95,1]","[0.52,0.58,0.60,0.63,0.65,0.75,0.75,0.78,0.83,0.85,0.87,0.92,0.95,1.03,1.47]",nan
9,CAT_785,DEP_ROM,NORM,1,0.2,
10,CAT_775,DEP_ROM,NORM,1,0.2,
