Mina,Regiao,Altitude,Ordem,Tipo,Massa,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,independente_,UML_,ORDEM_
Mina_1,Regiao_3,100,3,1,8666,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#100#3,0
Mina_1,Regiao_3,100,5,1,19835,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#100#5,1
Mina_1,Regiao_3,100,5,2,1809,73.6232,17.07,9.30682,60.1641,4.6631800000000005,0.06688,5.19928,0.13596,3.08774,64.465536,2.500025,0.047623,2.6457759999999997,0.09135,1.695442,53.703793000000005,8.051985,0.102968,8.926425,0.220913,5.372446,37.98555107,15.56047036,0.153326144,18.56349552,0.33229473,9.911523033,100,Mina_1#Regiao_3,Mina_1#Regiao_3#100#5,2
Mina_1,Regiao_3,100,6,1,18385,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#100#6,3
Mina_1,Regiao_3,90,3,1,36437,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#90#3,4
Mina_1,Regiao_3,90,5,1,46853,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#90#5,5
Mina_1,Regiao_3,90,5,3,27547,31.908456,33.783989,34.307567,51.251856,7.595689,0.06376699999999999,11.033844,0.07043300000000001,7.166722,62.32949,3.0594740000000002,0.069022,3.9526660000000002,0.067183,3.5974199999999996,52.570498,7.492816,0.059120000000000006,9.95849,0.062108000000000003,6.638358,39.65050462,11.9160102,0.06336007,18.67865118,0.081603884,11.00677432,100,Mina_1#Regiao_3,Mina_1#Regiao_3#90#5,6
Mina_1,Regiao_3,90,6,1,23490,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#90#6,7
Mina_1,Regiao_3,90,6,3,45049,22.026312,43.311088,34.662584,50.521372,9.968885,0.054746,10.467314,0.066544,6.270875,60.545988,4.650017,0.054840999999999994,4.834029,0.066258,3.318397,52.375712,8.318561,0.052000000000000005,9.797887,0.069661,6.143423,41.83425825,15.41085193,0.058090177,14.88355235,0.06292671,8.306320666,100,Mina_1#Regiao_3,Mina_1#Regiao_3#90#6,8
Mina_1,Regiao_3,90,7,1,48236,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#90#7,9
Mina_1,Regiao_3,90,7,3,40330,17.416223000000002,41.871145,40.71265,50.831573,10.255623,0.0543,9.568564,0.468786,5.970559,58.94404599999999,5.250933,0.053261,5.381283,0.447428,3.9698519999999995,52.954188,8.130142999999999,0.04986,9.208436,0.28733600000000004,5.852926999999999,45.17816682,14.58259329,0.059306,11.73020171,0.66455541,6.947458912,100,Mina_1#Regiao_3,Mina_1#Regiao_3#90#7,10
Mina_1,Regiao_3,80,1,1,45636,33.319565999999995,20.442009,46.238482,41.431456,32.925185,0.057420000000000006,3.119145,1.502146,2.609073,48.648697,20.464172,0.069333,3.129725,2.599231,3.1438759999999997,49.766369,18.576048,0.07288700000000001,3.9508650000000003,2.086429,3.458399,32.54584964,48.248372100000005,0.041995648,2.743819638,0.453327538,1.8481735330000002,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#1,11
Mina_1,Regiao_3,80,1,2,15472,27.952841999999997,23.446839,48.600239,57.688970999999995,13.722207000000001,0.033536,1.5088059999999999,0.720446,1.108847,64.331683,3.272398,0.037089,1.31595,1.4157799999999998,1.285108,64.80661500000001,3.7290739999999998,0.032619999999999996,1.25716,0.7315159999999999,1.0674700000000001,50.43449978,24.55365822,0.031905231,1.741023865,0.315094602,1.027465267,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#1,12
Mina_1,Regiao_3,80,1,3,74173,25.181538500000002,22.800720000000002,52.01771993,45.34540161,29.36730536,0.054111905,2.472150112,0.8581926759999999,2.01122919,53.94128385,15.74179837,0.068183117,2.65148845,1.328679084,2.489256545,55.64743135,13.0660643,0.064335493,2.8432023139999996,1.394245521,2.514434354,36.6685468,43.10859366,0.042811424,2.222717322,0.395483288,1.559227186,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#1,13
Mina_1,Regiao_3,80,2,1,2476,30.886658,23.758746,45.354597,41.508452,32.547633000000005,0.065725,2.581848,1.920462,2.6108700000000002,50.349810999999995,17.541657999999998,0.07631900000000001,2.6003979999999998,3.253792,3.205516,52.176675,15.513475,0.075722,2.8576599999999996,2.654571,3.0457799999999997,29.8989555,51.68995354,0.053338473,2.4247676190000003,0.6279297660000001,1.978154935,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#2,14
Mina_1,Regiao_3,80,2,3,29654,35.219254,27.850076,36.930675,46.377032,14.177844,0.122322,5.323901,5.697254,5.581169999999999,48.94829,9.439958,0.11653499999999999,4.339872,7.298856,5.549405,48.891216,9.196705,0.141989,5.807133,5.891261,6.2082180000000005,42.02892879,22.45252969,0.11299463900000001,5.897883105,4.023564295,5.13860261,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#2,15
Mina_1,Regiao_3,80,2,4,27214,23.891862,24.212648,51.895506,44.573629,32.300616,0.044483,1.6282590000000001,0.604939,1.471608,57.848948,12.756296,0.041863,1.8051139999999999,0.875618,1.579799,57.854969999999994,12.571584,0.05246,1.777548,0.9971049999999999,1.656739,32.26529029,50.50338878,0.041963033,1.477139795,0.2973616,1.335438296,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#2,16
Mina_1,Regiao_3,80,3,1,47792,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#3,17
Mina_1,Regiao_3,80,3,2,28776,58.445889,21.86532,19.68883,62.35174,3.270263,0.087634,3.3468419999999997,0.739479,2.529318,64.43506,2.034768,0.07696499999999999,2.3251180000000002,0.756242,1.972031,61.683953,3.3171809999999997,0.11508,3.611214,0.825026,2.997578,56.90893986,6.885726922999999,0.088759776,6.086159604,0.594714786,3.663574042,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#3,18
Mina_1,Regiao_3,80,3,3,18534,35.7782013,24.00182547,40.21996412,49.22101545,17.43469748,0.07690905,3.5914333519999997,3.2475080160000003,3.707056267,56.72708394,6.575596045,0.07659985700000001,3.018423059,3.8207306739999995,3.6403196039999997,55.18424691,8.546544979,0.097410984,3.665895809,3.2701162860000004,4.140215335,38.98532166,32.39862432,0.064950675,4.056691900000001,2.724115397,3.507930468,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#3,19
Mina_1,Regiao_3,80,5,1,44724,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#5,20
Mina_1,Regiao_3,80,5,2,41250,41.478687,29.353213,29.1681,55.973687,5.058587,0.083863,7.6682,0.163225,6.491562999999999,62.126955,2.203164,0.096202,3.692587,0.227704,4.891241,56.624887,5.135192,0.077355,7.195035000000001,0.11973900000000001,6.131547,46.5679844,9.04215576,0.072792165,13.79784513,0.115162741,9.129653956,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#5,21
Mina_1,Regiao_3,80,6,1,17017,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#6,22
Mina_1,Regiao_3,80,6,2,5003,30.949037,34.797105,34.253807,52.001777000000004,6.8513839999999995,0.050091000000000004,10.617331,0.27076100000000003,6.941899,62.577783,2.53745,0.052248,3.4303410000000003,0.575149,3.485006,53.867135,6.685782000000001,0.043873,9.182233,0.16625299999999998,6.123366000000001,40.55112674,10.91732476,0.054491097,18.56879136,0.10186698400000001,10.89681325,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#6,23
Mina_1,Regiao_3,80,7,1,41115,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#7,24
Mina_1,Regiao_3,80,7,3,32302,24.542294000000002,40.367959,35.089746000000005,49.7698,9.674159,0.049194,11.023489999999999,0.21562199999999998,6.852539,60.00501,4.486065,0.051337,4.659182,0.544079,3.7647730000000004,51.428588,8.514097999999999,0.045721,10.276231,0.131833,6.624956,40.70286751,14.63736525,0.051748431,16.33448504,0.082288544,9.273963932000001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#7,25
Mina_1,Regiao_3,80,8,1,18583,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,Mina_1#Regiao_3,Mina_1#Regiao_3#80#8,26
Mina_1,Regiao_3,70,1,4,93592,37.30630221,21.89136042,40.80233104,44.32024916,29.72741409,0.063385686,2.8737817210000003,1.083848787,2.3783185540000003,51.51802558,18.58690802,0.075909448,2.8172984789999997,1.485560248,2.681920899,51.91397268,16.83705123,0.074255737,3.571976067,1.5289417440000002,3.0072028439999996,33.66501186,46.8293691,0.046111575,2.550810367,0.477757461,1.763298126,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#1,27
Mina_1,Regiao_3,70,2,1,27344,30.708146000000003,23.774376,45.517501,39.904934999999995,34.641784,0.061860000000000005,3.397271,1.180142,2.866486,51.236168,18.292819,0.070711,3.135936,1.3330000000000002,2.9723479999999998,50.896615000000004,17.792659,0.068052,3.473321,1.660175,3.262305,26.51925608,54.47205186,0.052678302999999996,3.5338161789999996,0.826337268,2.5883724580000003,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#2,28
Mina_1,Regiao_3,70,2,2,19682,39.396293,28.535994,32.067738,60.237317000000004,8.638714,0.074974,1.835995,0.842195,2.025271,64.881998,2.5493,0.076928,1.27405,0.878652,1.9715,63.325141,3.8770860000000003,0.085611,1.66555,1.109018,2.099391,51.78346219,20.35698361,0.063065539,2.678066537,0.559857947,2.025356124,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#2,29
Mina_1,Regiao_3,70,2,3,30173,41.733332,25.086160999999997,33.1805,47.652868,18.001047,0.090416,3.771304,3.9130580000000004,4.106041,50.793308,11.785718,0.092513,3.401624,5.153041,4.352166,51.861644,10.02027,0.10984300000000001,4.4831900000000005,4.290411,4.862862000000001,40.52088616,31.85236645,0.073135032,3.6980840039999996,2.0681611909999997,3.224269102,100,Mina_1#Regiao_3,Mina_1#Regiao_3#70#2,30
