Mine,Region,Altitude,Order,Type,Mass,G1,G2,G3,FET,SIT,PT,ALT,MNT,PPCT,FE1,SI1,P1,AL1,MN1,PPC1,FE2,SI2,P2,AL2,MN2,PPC2,FE3,SI3,P3,AL3,MN3,PPC3,Global,Independent_,MMU_,Order_
M1,Region6,100,3,1,1326,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region6,M1#Region6#100#3,0
M1,Region6,100,3,2,2477,21.55241,24.737295,53.710395,55.853411,11.07575,0.103148,2.003148,2.017424,4.14299,59.269284,3.22918,0.150799,2.164536,2.791429,5.945907,60.200948,3.388824,0.130103,1.781937,2.64923,4.761799,52.48043258,17.76471638,0.071585345,2.040284905,1.415841631,3.134509046,100,M1#Region6,M1#Region6#100#3,1
M1,Region6,90,2,1,10416,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region6,M1#Region6#90#2,2
M1,Region6,90,3,1,139370,4.495776,11.930366,48.730609,25.581103,26.536214,0.017004,0.727226,0.458146,0.721223,49.443991,24.474082,0.039657,0.833516,1.69015,1.486613,57.371568,13.731389,0.039059,0.881544,1.172161,1.355793,33.88749697,48.83524563,0.021673707,1.199638572,0.497240486,1.010930689,100,M1#Region6,M1#Region6#90#3,3
M1,Region6,90,3,2,7120,23.684976,29.674105,46.640898,62.225238,2.698537,0.080724,2.799079,0.887746,4.151134,59.888219,1.7986,0.102398,4.9903,0.82764,6.526291,62.863533,1.400714,0.093248,2.656898,1.091486,4.446341,63.00587109,3.981281992,0.061784856,1.776792754,0.788654406,2.757165449,100,M1#Region6,M1#Region6#90#3,4
M1,Region6,90,3,3,8867,10.623164,20.431978,68.944857,48.214686,21.625312,0.053924,2.174976,3.101313,2.8378,50.882577,8.468434,0.099509,4.027519,6.081742,5.913345,55.712766,6.465105,0.073562,2.174399,5.347212,3.748011,45.58151602,28.14532744,0.04109421,1.889709393,1.976521318,2.09417747,100,M1#Region6,M1#Region6#90#3,5
M1,Region6,90,3,4,30442,6.716902,17.766571,75.516508,42.890975,35.423771,0.041455,1.028697,0.60133,1.360797,53.750391,19.735544,0.060146,0.555364,0.693049,1.809529,60.757955,9.463636,0.054136,0.691522,0.783243,1.503118,37.72155485,42.92674857,0.036802528,1.150092056,0.550358815,1.287408835,100,M1#Region6,M1#Region6#90#3,6
M1,Region6,80,1,1,173956,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,100,M1#Region6,M1#Region6#80#1,7
M1,Region6,80,1,3,58083,24.25703419,22.45999863,53.28296747,45.92413737,29.83403127,0.03969556,1.581750973,0.212731649,2.555835479,56.52426683,12.33656225,0.054776293,2.204192447,0.200495916,4.160054917,61.35963245,7.606157073,0.042332349,1.343649552,0.318112007,2.743293043,34.59203915,47.16929471,0.03172358,1.398734945,0.173888198,1.746525861,100,M1#Region6,M1#Region6#80#1,8
M1,Region6,80,2,1,251921,0.195454,0.257755,1.130362,0.631847,0.552951,0.000896,0.050036,0.021586,0.041447,52.964664,8.860042,0.057236,2.822517,5.50359,4.17666,58.384853,11.543834,0.042676,1.29789,1.294462,1.687394,33.42602718,44.75370258,0.059661957,3.642616978,0.662960152,2.559796768,100,M1#Region6,M1#Region6#80#2,9
M1,Region6,80,2,4,24488,8.238083,27.729628,64.032282,43.894384,34.905049,0.025516,0.904821,0.413596,0.920808,51.488156,24.949371,0.018552,0.461397,0.505948,0.730515,59.349116,13.073428,0.020477,0.482004,0.438396,0.588683,36.2246318,45.64023719,0.028613665,1.144932847,0.390996685,1.089119394,100,M1#Region6,M1#Region6#80#2,10
